,0,1,2,3,4,5,6,7,8,9
172,0.0,0.0,467.0,1327.0,706.0,0.0,0.0,0.0,0.0,1.0
173,0.0,77.0,0.0,346.0,2077.0,0.0,0.0,0.0,0.0,1.0
174,114.0,434.0,913.0,144.0,0.0,0.0,1.0,0.0,894.0,1.0
175,0.0,47.0,23.0,595.0,1535.0,300.0,0.0,0.0,0.0,1.0
176,0.0,33.0,0.0,1334.0,29.0,946.0,0.0,0.0,158.0,1.0
177,380.0,0.0,173.0,897.0,162.0,0.0,888.0,0.0,0.0,1.0
178,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,0.0,141.0,0.0,102.0,2257.0,0.0,0.0,0.0,0.0,1.0
180,0.0,0.0,112.0,2313.0,75.0,0.0,0.0,0.0,0.0,1.0
181,0.0,24.0,0.0,0.0,0.0,27.0,0.0,0.0,2449.0,1.0
182,0.0,5.0,0.0,1153.0,1342.0,0.0,0.0,0.0,0.0,1.0
183,0.0,0.0,963.0,1535.0,2.0,0.0,0.0,0.0,0.0,1.0
184,0.0,0.0,47.0,2218.0,21.0,0.0,0.0,0.0,214.0,1.0
185,1003.0,54.0,1059.0,292.0,0.0,51.0,41.0,0.0,0.0,1.0
186,1118.0,0.0,656.0,0.0,0.0,0.0,0.0,562.0,164.0,1.0
187,792.0,0.0,19.0,0.0,1627.0,62.0,0.0,0.0,0.0,1.0
188,153.0,0.0,312.0,2020.0,15.0,0.0,0.0,0.0,0.0,1.0
189,0.0,79.0,5.0,2332.0,6.0,78.0,0.0,0.0,0.0,1.0
190,0.0,0.0,23.0,2414.0,63.0,0.0,0.0,0.0,0.0,1.0
191,0.0,656.0,0.0,0.0,1662.0,182.0,0.0,0.0,0.0,1.0
192,1577.0,0.0,321.0,0.0,0.0,0.0,448.0,0.0,154.0,1.0
193,10.0,2020.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,1.0
194,0.0,2317.0,0.0,154.0,29.0,0.0,0.0,0.0,0.0,1.0
195,913.0,279.0,817.0,491.0,0.0,0.0,0.0,0.0,0.0,1.0
196,0.0,0.0,0.0,135.0,2344.0,21.0,0.0,0.0,0.0,1.0
197,0.0,1453.0,243.0,422.0,257.0,125.0,0.0,0.0,0.0,1.0
198,0.0,2183.0,0.0,81.0,236.0,0.0,0.0,0.0,0.0,1.0
199,69.0,1443.0,8.0,81.0,191.0,694.0,0.0,0.0,14.0,1.0
200,0.0,2147.0,346.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
201,0.0,3.0,69.0,2428.0,0.0,0.0,0.0,0.0,0.0,1.0
202,0.0,2319.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,1.0
203,0.0,1112.0,366.0,0.0,777.0,0.0,242.0,3.0,0.0,1.0
204,0.0,135.0,155.0,0.0,2127.0,83.0,0.0,0.0,0.0,1.0
205,220.0,295.0,1665.0,0.0,320.0,0.0,0.0,0.0,0.0,1.0
206,0.0,13.0,425.0,0.0,715.0,1347.0,0.0,0.0,0.0,1.0
207,0.0,0.0,101.0,747.0,1509.0,121.0,0.0,0.0,22.0,1.0
208,1335.0,0.0,332.0,833.0,0.0,0.0,0.0,0.0,0.0,1.0
209,1199.0,0.0,0.0,533.0,206.0,66.0,0.0,0.0,496.0,1.0
210,9.0,134.0,0.0,2357.0,0.0,0.0,0.0,0.0,0.0,1.0
211,0.0,0.0,11.0,0.0,420.0,1853.0,216.0,0.0,0.0,1.0
212,1670.0,0.0,478.0,352.0,0.0,0.0,0.0,0.0,0.0,1.0
213,400.0,333.0,0.0,711.0,739.0,0.0,0.0,0.0,317.0,1.0
214,512.0,54.0,87.0,1309.0,144.0,0.0,177.0,156.0,61.0,1.0
215,8.0,30.0,712.0,1655.0,95.0,0.0,0.0,0.0,0.0,1.0
